,input_size_h,input_size_w,channels,filter_size,stride,runtime
0,89,123,58,3,2,0.0328020006418
1,214,295,6,2,2,0.0110579999164
2,266,35,101,3,2,0.0471360012889
3,37,142,123,2,3,0.00824499968439
4,47,19,131,2,3,0.00156600004993
5,109,151,49,2,3,0.0104809999466
6,83,217,18,2,3,0.00432300008833
7,423,29,54,3,2,0.033330000937
8,349,231,5,2,3,0.00528099993244
9,344,395,6,3,3,0.018805000931
10,85,403,20,3,2,0.0509280003607
11,238,309,8,2,2,0.017125999555
12,170,43,93,2,3,0.00896099954844
13,208,428,1,2,2,0.00262899999507
14,142,195,13,3,3,0.00829499959946
15,365,388,4,2,3,0.00744900014251
16,129,127,10,3,3,0.00381799996831
17,20,16,2401,2,2,0.023138999939
18,187,223,19,3,3,0.0181879997253
19,213,170,7,2,2,0.00743700005114
20,337,420,4,3,2,0.029157999903
21,233,262,12,2,3,0.00970499962568
22,22,362,16,2,3,0.00159999995958
23,77,45,91,3,2,0.0168900005519
24,72,117,102,2,3,0.0214820001274
25,125,230,4,2,2,0.00336299999617
26,357,147,16,3,2,0.0434040017426
27,373,174,9,3,3,0.0135719999671
28,352,423,3,3,2,0.0229400005192
29,348,113,17,2,2,0.0193860009313
30,241,344,8,2,3,0.00870199967176
31,137,404,4,3,2,0.0114989997819
32,355,244,5,3,3,0.0100560002029
33,318,325,5,2,2,0.0150570003316
34,387,347,1,2,3,0.00177700002678
35,288,114,23,2,2,0.0308030005544
36,375,387,3,3,3,0.0122180003673
37,221,88,51,2,3,0.0130120003596
38,171,4,538,2,2,0.011758999899
39,398,64,34,2,3,0.0113260000944
40,357,313,4,2,3,0.00584700005129
41,116,159,21,2,2,0.0112920003012
42,192,381,11,2,2,0.0237319990993
43,158,344,2,3,2,0.00558400014415
44,287,447,1,2,3,0.00171300000511
45,280,378,1,3,2,0.00543999997899
46,406,192,5,3,2,0.0200549997389
47,357,71,13,2,3,0.00449299998581
48,405,246,6,2,2,0.0174359995872
49,182,198,19,3,3,0.0188359990716
50,146,245,23,3,3,0.0374910011888
51,177,131,9,3,2,0.010816000402
52,24,443,62,3,3,0.0152089996263
53,376,280,7,3,2,0.0376750007272
54,35,181,133,2,2,0.0238080006093
55,156,45,62,2,2,0.0127079999074
56,177,268,6,3,2,0.0145460003987
57,279,205,7,3,3,0.00930699985474
58,204,111,43,3,2,0.0502820014954
59,412,81,13,2,3,0.00577499996871
60,288,41,27,3,2,0.0300149992108
61,324,171,8,3,2,0.0226850006729
