,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,137,5,5,219,4,2,0.0073469998315
1,137,8,85,53,4,2,0.0549869984388
2,219,137,33,219,6,2,2.98131799698
3,137,33,20,5,8,1,0.360561013222
4,13,53,53,219,10,1,0.548448979855
5,85,219,219,5,2,1,1.20417201519
6,137,3,219,8,2,1,0.0193780008703
7,85,137,53,5,8,2,0.67155200243
8,137,53,8,219,8,2,0.301890999079
9,8,5,3,53,2,1,0.000394000002416
10,20,13,85,53,10,1,0.12366899848
11,53,33,20,13,6,2,0.0250460002571
12,13,137,5,8,4,2,0.0031429999508
13,8,137,33,5,6,1,0.061005000025
14,53,20,137,33,2,1,0.064240001142
15,20,8,5,85,2,1,0.00167499994859
16,53,219,13,13,10,2,0.271719008684
17,20,33,137,20,2,2,0.00928699970245
18,85,13,85,3,8,2,0.0647839978337
19,85,219,13,33,2,2,0.0383220016956
20,33,13,3,219,4,2,0.00387099990621
21,219,219,20,33,6,1,3.72882699966
22,137,8,219,53,6,1,0.747057020664
23,53,13,8,33,8,2,0.00662200013176
24,137,219,53,20,6,2,1.23968803883
25,8,219,8,85,4,1,0.0449480004609
26,219,219,5,53,10,2,0.789718985558
27,20,8,53,33,6,2,0.0114369997755
28,219,8,219,20,4,2,0.14418900013
29,33,8,85,53,2,1,0.0127140004188
30,137,33,137,53,6,2,0.683288991451
31,13,137,8,53,2,1,0.0139690004289
32,53,85,20,85,4,1,0.272044986486
33,53,20,351,3,8,1,1.16175305843
34,53,53,351,8,4,1,1.1472350359
35,20,8,5,13,6,1,0.00190799997654
36,53,85,5,137,10,1,0.469716012478
37,219,13,13,33,2,1,0.0219340007752
38,53,3,53,33,2,1,0.00343700009398
39,137,85,5,13,6,2,0.0473809987307
40,13,5,85,137,4,1,0.025195999071
41,53,3,13,8,2,2,0.000350999995135
42,33,219,33,5,10,2,0.339222997427
43,53,13,33,219,2,2,0.0109329996631
44,13,20,351,8,8,1,0.214297994971
45,137,137,20,219,2,2,0.200801998377
46,33,33,351,20,8,1,1.60573995113
47,33,85,20,8,2,2,0.00493999989703
48,13,219,3,85,8,1,0.0692910030484
49,85,53,33,33,8,1,0.889033973217
50,3,53,13,53,2,2,0.000728000013623
51,85,33,137,8,10,2,0.540194988251
52,20,137,20,85,8,1,0.450686007738
53,33,85,137,219,8,1,6.67474794388
54,53,137,219,3,4,2,0.443441003561
55,8,137,13,85,2,1,0.0153679996729
56,53,8,85,53,6,2,0.0437919981778
57,219,53,53,13,8,1,2.93403100967
58,20,8,8,8,4,2,0.000711000000592
59,8,33,53,85,4,1,0.0389599986374
60,219,85,33,20,2,2,0.0629680007696
61,53,85,33,137,6,2,0.312810987234
62,13,53,8,20,4,1,0.00869099982083
63,8,219,5,5,6,1,0.0167430005968
64,33,13,13,8,2,2,0.000655999989249
65,53,53,33,13,8,2,0.105067998171
66,5,8,33,85,4,2,0.00417000008747
67,219,53,53,20,2,2,0.0621160008013
68,20,33,85,13,2,1,0.0195400007069
69,219,219,219,3,8,1,45.3319664001
70,53,85,8,85,6,1,0.234266996384
71,33,219,33,137,4,2,0.248127996922
72,85,33,3,5,2,1,0.00380000006407
73,33,85,351,137,8,1,12.0506973267
74,53,20,53,33,4,1,0.0976080000401
75,5,5,219,53,2,2,0.00419300002977
76,85,13,53,5,6,2,0.0307519994676
77,13,85,85,219,2,1,0.138880997896
78,53,3,137,33,2,1,0.00808299984783
79,5,85,20,53,4,2,0.00518999993801
80,137,20,85,85,6,2,0.338827997446
81,33,13,137,3,6,2,0.0296039991081
82,137,137,85,8,6,2,1.05043005943
83,5,8,5,33,2,2,0.000276000006124
84,8,33,33,8,2,1,0.00275600003079
85,33,20,33,33,4,1,0.0395810008049
86,53,219,351,13,2,1,1.34149098396
87,8,8,5,20,2,2,0.000273000012385
88,53,8,8,8,4,1,0.00414700014517
89,85,53,5,3,2,2,0.00215100008063
90,13,85,20,219,10,1,0.350077003241
91,53,53,8,5,2,2,0.00220600003377
92,33,33,53,137,8,1,0.663868010044
93,85,33,8,3,2,1,0.00728299980983
94,85,85,13,5,8,1,0.400864005089
95,53,20,219,33,10,1,1.46787500381
96,33,85,3,3,10,2,0.0122189996764
97,53,137,219,53,10,1,17.3550357819
98,8,13,3,20,6,1,0.000956000003498
99,53,85,33,5,8,1,0.614989995956
100,53,137,219,3,6,2,0.941411972046
101,219,20,3,33,8,2,0.0214450005442
102,219,13,219,137,4,1,2.21905398369
103,20,13,53,3,6,2,0.00730499997735
104,219,85,85,13,2,2,0.138988003135
105,20,53,85,8,8,2,0.0819339975715
106,13,85,137,33,10,2,0.207057997584
107,20,33,137,3,6,2,0.0513859987259
108,8,13,53,3,6,2,0.00360599998385
109,33,20,137,20,4,1,0.124113999307
110,33,20,13,137,10,1,0.120934002101
111,33,33,8,137,4,1,0.0428679995239
112,8,3,13,137,2,2,0.000803000002634
113,53,13,33,20,4,2,0.00867300014943
114,20,85,219,137,4,2,0.37210598588
115,219,53,8,3,2,2,0.00790799967945
116,219,33,351,137,4,2,2.36372494698
117,53,33,219,8,6,1,0.888911008835
118,219,3,13,85,2,2,0.00221100007184
119,137,33,3,85,4,1,0.0644999966025
120,13,137,8,13,6,2,0.00964600034058
121,85,137,33,8,6,2,0.250746011734
122,53,33,219,85,2,2,0.0727849975228
123,137,20,33,3,8,1,0.307108014822
124,20,137,219,3,10,2,0.711342990398
125,137,137,137,13,6,2,1.86373794079
126,53,33,20,53,8,2,0.0616899989545
127,20,53,33,33,2,1,0.0176989994943
128,53,20,219,20,2,1,0.0828970000148
