,input_size,channels,pool_size,stride,runtime
0,16,88,2,2,0.000677333388012
1,323,420,3,2,
2,187,240,2,2,
3,273,60,1,2,
4,439,158,2,1,
5,399,335,3,2,
6,291,10,3,1,
7,26,130,1,2,
8,193,193,2,1,0.874406337738
9,439,224,2,2,
10,34,189,1,1,
11,124,266,2,2,
12,363,508,1,2,
13,98,485,3,1,
14,321,437,3,2,
15,363,377,2,1,
16,363,254,2,1,
17,404,474,3,2,
18,352,354,1,1,
19,71,219,3,1,
20,105,350,2,2,
21,83,39,3,2,
22,434,290,3,2,
23,368,475,1,1,
24,242,190,1,2,
25,219,294,2,1,1.72548389435
26,406,396,1,1,
27,184,329,1,2,
28,85,380,2,1,
29,183,206,1,2,
30,336,366,3,1,
31,43,315,3,1,
32,218,243,3,2,0.580575346947
33,254,136,2,2,
34,171,67,3,2,
35,364,85,3,2,
36,384,419,3,1,
37,317,135,2,2,
38,300,505,3,2,
39,356,3,2,1,0.0467483364046
40,214,38,2,2,0.0539260022342
41,50,335,1,2,
42,366,169,1,1,
43,27,133,1,1,
44,307,59,2,1,
45,157,181,2,1,
46,185,346,1,1,
47,206,281,3,1,2.40050911903
48,196,10,2,2,0.0120799997821
49,324,441,3,1,
50,205,309,3,2,0.664122343063
51,92,18,3,1,
52,153,228,3,2,
53,282,446,1,1,
54,102,455,2,1,
55,210,469,2,2,0.645718336105
56,139,431,2,2,
57,303,315,1,2,
58,293,468,2,1,
59,341,3,1,2,0.0065296664834
60,328,8,2,1,0.105070672929
61,124,198,1,2,
62,121,207,1,1,
63,322,12,3,2,
64,201,326,2,1,1.60327339172
65,221,494,2,1,2.96312236786
66,305,65,2,2,
67,169,228,1,1,
68,306,447,3,1,
69,246,377,2,1,
70,30,93,2,1,0.0103163337335
71,41,245,2,2,
72,96,198,2,1,
73,448,193,2,2,
74,356,308,1,2,
75,288,123,1,1,
76,345,281,2,1,
77,265,3,2,1,0.0256776660681
78,401,188,1,1,
79,167,436,2,2,
80,416,55,1,1,
81,221,493,3,2,1.23167693615
82,133,328,2,2,
83,363,406,2,2,
84,187,393,2,1,
85,301,150,1,2,
86,216,115,3,1,1.07181334496
87,281,484,1,2,
88,190,85,3,1,
89,379,382,3,2,
90,265,509,1,1,
91,271,27,3,1,
92,131,308,1,2,
93,347,286,3,1,
94,405,277,2,2,
95,171,191,1,2,
96,398,432,2,1,
97,440,106,3,2,
98,367,129,1,1,
99,440,337,1,1,
100,211,376,2,1,2.04478549957
101,297,388,2,2,
102,216,352,2,1,1.99839532375
103,48,410,1,1,
104,311,3,2,1,0.035505335778
105,130,255,3,2,
106,372,120,1,2,
107,103,194,3,2,
108,44,458,3,2,
109,323,89,2,2,
110,166,260,1,1,
111,403,260,1,1,
112,213,292,2,1,1.62249600887
113,189,200,3,2,
114,231,207,2,1,
115,328,372,2,1,
116,369,272,2,2,
117,29,79,3,2,0.00346899987198
118,123,284,2,1,
119,135,367,2,1,
120,320,4,1,2,
121,411,497,2,1,
122,295,409,3,2,
123,252,316,3,1,
124,250,424,2,1,
125,310,486,2,1,
126,349,114,2,2,
127,319,299,2,2,
128,179,354,1,1,
129,324,497,1,2,
130,321,342,2,1,
131,76,137,3,1,
132,416,272,2,1,
133,123,278,3,2,
134,249,6,1,2,
135,190,387,3,2,
136,277,128,2,2,
137,273,69,3,2,
138,395,269,3,1,
139,145,98,3,2,
140,357,324,2,1,
141,390,331,3,1,
142,89,14,2,2,
143,341,294,1,1,
144,157,189,1,1,
145,136,343,1,1,
146,119,431,3,2,
147,250,294,2,2,
148,423,408,2,1,
149,320,8,2,2,
150,66,370,1,2,
151,9,195,1,1,0.00150433334056
152,11,468,1,1,0.00420266669244
153,66,143,2,1,
154,440,56,1,1,
155,312,304,1,2,
156,421,168,2,2,
157,245,275,1,2,
158,256,450,3,1,
159,66,157,1,2,
160,189,474,2,2,
161,271,346,2,1,
162,377,486,3,1,
163,131,439,1,1,
164,6,347,3,1,0.00244566658512
165,39,431,1,1,
166,345,505,1,2,
167,443,376,3,1,
168,324,235,2,1,
169,37,302,2,1,
170,219,334,3,1,3.21218705177
171,370,389,1,2,
172,120,334,1,1,
173,39,72,2,2,
174,262,104,3,2,
175,278,238,2,2,
176,395,216,1,2,
177,321,449,2,1,
178,8,344,2,2,0.000693333335221
179,12,246,2,2,0.00107300002128
180,289,300,3,2,
181,151,187,2,2,
182,37,169,3,2,
183,156,144,2,2,
184,257,241,1,1,
185,281,359,3,2,
186,382,409,2,1,
187,72,232,1,1,
188,1,261,2,2,5.73333345528e-05
189,228,290,1,1,
190,384,429,2,1,
191,193,505,1,1,1.37650740147
192,340,509,2,2,
193,52,71,3,1,
194,195,305,2,1,1.41599738598
195,368,67,2,1,
196,207,179,3,1,1.55338823795
197,364,133,1,1,
198,326,115,2,1,
199,261,489,3,2,
200,88,204,2,2,
201,260,340,3,2,
202,140,479,1,1,
203,125,62,3,1,
204,45,154,2,2,
205,148,361,2,2,
206,154,288,2,1,
207,293,344,2,2,
208,47,223,2,1,
209,380,492,1,1,
210,172,266,3,1,
211,244,10,2,2,
212,136,73,3,1,
213,345,150,1,1,
214,142,123,1,1,
215,259,413,1,2,
216,307,13,1,2,
217,355,237,1,2,
218,395,385,1,2,
219,48,88,2,1,
220,436,351,2,2,
221,135,507,3,1,
222,308,170,3,1,
223,9,348,2,1,0.00329033308662
