,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,53,562,8,53,2,1,0.145209997892
1,85,13,13,219,4,1,0.0537099987268
2,33,53,3,5,8,1,0.0135110002011
3,13,53,5,3,6,2,0.00119199999608
4,85,137,562,1441,6,1,248.112426758
5,562,137,137,33,4,2,2.76918506622
6,562,85,8,8,8,1,1.04841804504
7,85,85,20,33,10,2,0.206870004535
8,13,85,13,351,8,1,0.182735994458
9,13,33,8,8,6,2,0.00135799997952
10,562,13,85,1441,2,1,2.96005296707
11,8,5,1441,137,2,2,0.041019000113
12,8,8,3,351,2,1,0.00127500004601
13,53,85,137,351,10,1,14.8315725327
14,5,562,20,8,2,1,0.009829999879
15,85,137,1441,20,4,1,14.2428541183
16,13,8,219,3,4,2,0.00462199980393
17,33,53,53,562,10,2,0.847315013409
18,562,219,13,1441,10,1,176.09513855
19,8,85,85,85,6,1,0.143950998783
20,53,562,1441,900,10,1,-1719.99023438
21,85,33,5,53,6,1,0.0429529994726
22,53,33,562,1441,8,1,54.5893135071
23,219,20,562,137,2,2,0.370440989733
24,137,85,1441,53,6,2,11.5644807816
25,3,3,3,3,2,1,0.000123999998323
26,85,351,900,137,4,1,60.0112457275
27,219,20,1441,351,6,1,57.4933166504
28,85,85,3,900,8,2,0.282949000597
29,20,5,351,85,4,2,0.0322300009429
30,20,351,5,562,6,1,0.623013019562
31,137,137,13,20,4,2,0.0589150004089
32,85,219,85,3,4,1,1.07599294186
33,562,20,562,900,4,1,68.8244094849
34,562,20,20,351,6,2,0.598592996597
35,33,351,8,3,2,1,0.0175260007381
36,33,219,33,1441,10,1,20.4666538239
37,20,13,33,1441,6,2,0.139332994819
38,137,13,5,53,8,2,0.00815299991518
39,137,137,562,13,2,2,0.549206972122
40,33,219,562,13,8,2,2.77281999588
41,85,137,5,900,8,2,0.724045991898
42,562,137,219,900,10,1,1110.81384277
43,562,85,20,1441,6,2,9.72490787506
44,13,85,8,351,10,1,0.12898799777
45,20,53,562,1441,6,1,20.1545562744
46,219,219,562,13,8,1,83.0793838501
47,13,33,85,1441,2,2,0.0603919997811
48,351,219,1441,33,4,2,28.7609958649
49,137,562,3,1441,6,1,13.5674858093
50,33,219,13,20,8,1,0.279024004936
51,351,53,351,900,2,1,18.8760623932
52,20,137,351,20,2,1,0.202517002821
53,351,8,33,137,6,2,0.0989480018616
54,13,137,8,53,4,1,0.0218729991466
55,562,13,53,53,6,1,0.894872009754
56,219,13,219,5,2,1,0.108332999051
57,562,13,20,351,10,1,2.06847190857
58,3,351,137,33,2,1,0.0281300004572
59,351,33,3,137,4,1,0.147339001298
60,562,13,53,562,2,1,0.792244017124
61,85,20,137,3,2,1,0.0402389988303
62,8,137,8,562,4,2,0.0256140008569
63,5,53,219,562,2,1,0.112365998328
64,85,219,5,1441,10,1,9.95690822601
65,8,8,13,137,2,1,0.0010969999712
66,13,33,20,85,4,2,0.00456300005317
67,219,53,20,53,4,2,0.0841130018234
68,53,562,85,1441,10,2,60.46251297
69,5,5,1441,13,4,1,0.0391369983554
70,5,137,900,13,2,2,0.0276759993285
71,219,8,8,33,4,1,0.0162349995226
72,219,8,85,562,2,1,0.285322993994
73,85,85,900,33,4,1,6.65856313705
74,53,13,3,562,10,2,0.0195589996874
75,8,20,351,8,4,1,0.0369529984891
76,5,219,1441,8,2,1,0.233763992786
77,351,137,219,20,6,1,19.9027233124
78,85,13,562,351,2,1,0.714685976505
79,219,53,53,8,10,1,2.33636808395
80,8,351,20,137,4,2,0.0393939986825
81,20,219,20,5,6,2,0.0334890000522
82,13,219,3,8,6,2,0.00311199994758
83,219,33,53,33,2,2,0.0290670003742
84,3,351,3,562,2,1,0.0228000003844
85,8,562,351,5,4,2,0.28934699297
