,#filters,size,stride,padding,input,c (input),output,c (output),time (sec) 1GHz
conv,64,3,1,1,256,3,256,64,0.36525
conv,64,3,1,1,256,64,256,64,3.504912
max,,2,2,0,256,64,128,64,0.165144
conv,128,3,1,1,128,64,128,128,1.421006
conv,128,3,1,1,128,128,128,128,2.675674
max,,2,2,0,128,128,64,128,0.081884
conv,256,3,1,1,64,128,64,256,1.149153
conv,256,3,1,1,64,256,64,256,2.24457
conv,256,3,1,1,64,256,64,256,2.243585
max,,2,2,0,64,256,32,256,0.039717
conv,512,3,1,1,32,256,32,512,1.078523
conv,512,3,1,1,32,512,32,512,2.131852
conv,512,3,1,1,32,512,32,512,2.139594
max,,2,2,0,32,512,16,512,0.021936
conv,512,3,1,1,16,512,16,512,0.594661
conv,512,3,1,1,16,512,16,512,0.594721
conv,512,3,1,1,16,512,16,512,0.594314
max,,2,2,0,16,512,8,512,0.004983
conv,64,3,1,1,128,3,128,64,0.092197
conv,64,3,1,1,128,64,128,64,0.901073
max,,2,2,0,128,64,64,64,0.041864
conv,128,3,1,1,64,64,64,128,0.359764
conv,128,3,1,1,64,128,64,128,0.687478
max,,2,2,0,64,128,32,128,0.020515
conv,256,3,1,1,32,128,32,256,0.305663
conv,256,3,1,1,32,256,32,256,0.596858
conv,256,3,1,1,32,256,32,256,0.598565
max,,2,2,0,32,256,16,256,0.010752
conv,512,3,1,1,16,256,16,512,0.30653
conv,512,3,1,1,16,512,16,512,0.615665
conv,512,3,1,1,16,512,16,512,0.603597
max,,2,2,0,16,512,8,512,0.004992
conv,512,3,1,1,8,512,8,512,0.226728
conv,512,3,1,1,8,512,8,512,0.2275
conv,512,3,1,1,8,512,8,512,0.226775
max,,2,2,0,8,512,4,512,0.00134
conv,64,3,1,1,64,3,64,64,0.022548
conv,64,3,1,1,64,64,64,64,0.222124
max,,2,2,0,64,64,32,64,0.009997
conv,128,3,1,1,32,64,32,128,0.090914
conv,128,3,1,1,32,128,32,128,0.17618
max,,2,2,0,32,128,16,128,0.005528
conv,256,3,1,1,16,128,16,256,0.086064
conv,256,3,1,1,16,256,16,256,0.165615
conv,256,3,1,1,16,256,16,256,0.164365
max,,2,2,0,16,256,8,256,0.002503
conv,512,3,1,1,8,256,8,512,0.113842
conv,512,3,1,1,8,512,8,512,0.225341
conv,512,3,1,1,8,512,8,512,0.225067
max,,2,2,0,8,512,4,512,0.001279
conv,512,3,1,1,4,512,4,512,0.133943
conv,512,3,1,1,4,512,4,512,0.133356
conv,512,3,1,1,4,512,4,512,0.133607
max,,2,2,0,4,512,2,512,0.000396
conv,64,3,1,1,32,3,32,64,0.005938
conv,64,3,1,1,32,64,32,64,0.057549
max,,2,2,0,32,64,16,64,0.002622
conv,128,3,1,1,16,64,16,128,0.025013
conv,128,3,1,1,16,128,16,128,0.048183
max,,2,2,0,16,128,8,128,0.001415
conv,256,3,1,1,8,128,8,256,0.031537
conv,256,3,1,1,8,256,8,256,0.060436
conv,256,3,1,1,8,256,8,256,0.060081
max,,2,2,0,8,256,4,256,0.00101
conv,512,3,1,1,4,256,4,512,0.06773
conv,512,3,1,1,4,512,4,512,0.140698
conv,512,3,1,1,4,512,4,512,0.135134
max,,2,2,0,4,512,2,512,0.000393
conv,512,3,1,1,2,512,2,512,0.109616
conv,512,3,1,1,2,512,2,512,0.109479
conv,512,3,1,1,2,512,2,512,0.110348
max,,2,2,0,2,512,1,512,0.000159
