,#filters,size,stride,padding,input,c (input),output,c (output),time (sec) 1GHz
conv,32,3,1,1,448,3,448,32,0.767809
max,,2,2,0,448,32,224,32,0.249073
conv,64,3,1,1,224,32,224,64,1.464385
max,,2,2,0,224,64,112,64,0.126436
conv,128,3,1,1,112,64,112,128,1.077104
conv,64,1,1,0,112,128,112,64,0.191137
conv,128,3,1,1,112,64,112,128,1.068897
max,,2,2,0,112,128,56,128,0.061768
conv,256,3,1,1,56,128,56,256,0.88057
conv,128,1,1,0,56,256,56,128,0.132695
conv,256,3,1,1,56,128,56,256,0.881454
max,,2,2,0,56,256,28,256,0.03051
conv,512,3,1,1,28,256,28,512,0.81729
conv,256,1,1,0,28,512,28,256,0.108569
conv,512,3,1,1,28,256,28,512,0.817451
conv,256,1,1,0,28,512,28,256,0.108634
conv,512,3,1,1,28,256,28,512,0.81798
max,,2,2,0,28,512,14,512,0.015523
conv,1024,3,1,1,14,512,14,1024,0.925359
conv,512,1,1,0,14,1024,14,512,0.112048
conv,1024,3,1,1,14,512,14,1024,0.925256
conv,512,1,1,0,14,1024,14,512,0.111904
conv,1024,3,1,1,14,512,14,1024,0.925313
conv,1024,3,1,1,14,1024,14,1024,1.859916
conv,1024,3,1,1,14,1024,14,1024,1.845435
route,16,,,,,,,,0.003837
conv,64,1,1,0,28,512,28,64,0.040141
reorg,,,2,0,28,64,14,256,0.000578
route,"27, 24",,,,,,,,0.00256
conv,1024,3,1,1,14,1280,14,1024,2.294678
conv,425,1,1,0,14,1024,14,425,0.093304
conv,32,3,1,1,224,3,224,32,0.190893
max,,2,2,0,224,32,112,32,0.063493
conv,64,3,1,1,112,32,112,64,0.369759
max,,2,2,0,112,64,56,64,0.03116
conv,128,3,1,1,56,64,56,128,0.271713
conv,64,1,1,0,56,128,56,64,0.048366
conv,128,3,1,1,56,64,56,128,0.271658
max,,2,2,0,56,128,28,128,0.015319
conv,256,3,1,1,28,128,28,256,0.237802
conv,128,1,1,0,28,256,28,128,0.035033
conv,256,3,1,1,28,128,28,256,0.233476
max,,2,2,0,28,256,14,256,0.007856
conv,512,3,1,1,14,256,14,512,0.247784
conv,256,1,1,0,14,512,14,256,0.031751
conv,512,3,1,1,14,256,14,512,0.243996
conv,256,1,1,0,14,512,14,256,0.031796
conv,512,3,1,1,14,256,14,512,0.24455
max,,2,2,0,14,512,7,512,0.003757
conv,1024,3,1,1,7,512,7,1024,0.395955
conv,512,1,1,0,7,1024,7,512,0.047004
conv,1024,3,1,1,7,512,7,1024,0.396218
conv,512,1,1,0,7,1024,7,512,0.046861
conv,1024,3,1,1,7,512,7,1024,0.39584
conv,1024,3,1,1,7,1024,7,1024,0.794549
conv,1024,3,1,1,7,1024,7,1024,0.814659
route,16,,,,,,,,0.00092
conv,64,1,1,0,14,512,14,64,0.011285
reorg,,,2,0,14,64,7,256,0.000165
route,"27, 24",,,,,,,,0.00052
conv,1024,3,1,1,7,1280,7,1024,0.985048
conv,425,1,1,0,7,1024,7,425,0.038964
conv,32,3,1,1,112,3,112,32,0.047567
max,,2,2,0,112,32,56,32,0.015534
conv,64,3,1,1,56,32,56,64,0.094172
max,,2,2,0,56,64,28,64,0.007675
conv,128,3,1,1,28,64,28,128,0.070576
conv,64,1,1,0,28,128,28,64,0.012624
conv,128,3,1,1,28,64,28,128,0.070633
max,,2,2,0,28,128,14,128,0.003797
conv,256,3,1,1,14,128,14,256,0.067593
conv,128,1,1,0,14,256,14,128,0.011433
conv,256,3,1,1,14,128,14,256,0.067607
max,,2,2,0,14,256,7,256,0.001857
conv,512,3,1,1,7,256,7,512,0.102843
conv,256,1,1,0,7,512,7,256,0.012788
conv,512,3,1,1,7,256,7,512,0.102824
conv,256,1,1,0,7,512,7,256,0.01273
conv,512,3,1,1,7,256,7,512,0.10268
max,,2,2,0,7,512,3,512,0.0008
conv,1024,3,1,1,3,512,3,1024,0.23021
conv,512,1,1,0,3,1024,3,512,0.02675
conv,1024,3,1,1,3,512,3,1024,0.229632
conv,512,1,1,0,3,1024,3,512,0.026488
conv,1024,3,1,1,3,512,3,1024,0.230676
conv,1024,3,1,1,3,1024,3,1024,0.466263
conv,1024,3,1,1,3,1024,3,1024,0.46472
route,16,,,,,,,,0.000121
conv,64,1,1,0,7,512,7,64,0.004251
reorg,,,2,0,7,64,3.5,256,0.000069
route,"27, 24",,,,,,,,0.000054
conv,1024,3,1,1,3.5,1280,3.5,1024,0.571789
conv,425,1,1,0,3.5,1024,3.5,425,0.021941
conv,32,3,1,1,56,3,56,32,0.011763
max,,2,2,0,56,32,28,32,0.003769
conv,64,3,1,1,28,32,28,64,0.025234
max,,2,2,0,28,64,14,64,0.001939
conv,128,3,1,1,14,64,14,128,0.02085
conv,64,1,1,0,14,128,14,64,0.003492
conv,128,3,1,1,14,64,14,128,0.020915
max,,2,2,0,14,128,7,128,0.000973
conv,256,3,1,1,7,128,7,256,0.029173
conv,128,1,1,0,7,256,7,128,0.003891
conv,256,3,1,1,7,128,7,256,0.028206
max,,2,2,0,7,256,3,256,0.000417
conv,512,3,1,1,3,256,3,512,0.060118
conv,256,1,1,0,3,512,3,256,0.007088
conv,512,3,1,1,3,256,3,512,0.060192
conv,256,1,1,0,3,512,3,256,0.007404
conv,512,3,1,1,3,256,3,512,0.060025
max,,2,2,0,3,512,1,512,0.000184
conv,1024,3,1,1,1,512,1,1024,0.223722
conv,512,1,1,0,1,1024,1,512,0.026224
conv,1024,3,1,1,1,512,1,1024,0.224062
conv,512,1,1,0,1,1024,1,512,0.02582
conv,1024,3,1,1,1,512,1,1024,0.22471
conv,1024,3,1,1,1,1024,1,1024,0.455544
conv,1024,3,1,1,1,1024,1,1024,0.453544
route,16,,,,,,,,0.000606
conv,64,1,1,0,3,512,3,64,0.00223
reorg,,,2,0,3,64,1.5,256,0.000026
route,"27, 24",,,,,,,,0.000009
conv,1024,3,1,1,1.5,1280,1.5,1024,0.577169
conv,425,1,1,0,1.5,1024,1.5,425,0.021316
conv,32,3,1,1,608,3,608,32,1.427548
max,,2,2,0,608,32,304,32,0.463788
conv,64,3,1,1,304,32,304,64,2.717456
max,,2,2,0,304,64,152,64,0.231756
conv,128,3,1,1,152,64,152,128,1.972121
conv,64,1,1,0,152,128,152,64,0.350205
conv,128,3,1,1,152,64,152,128,1.976206
max,,2,2,0,152,128,76,128,0.115844
conv,256,3,1,1,76,128,76,256,1.621656
conv,128,1,1,0,76,256,76,128,0.243552
conv,256,3,1,1,76,128,76,256,1.664228
max,,2,2,0,76,256,38,256,0.0583
conv,512,3,1,1,38,256,38,512,1.512271
conv,256,1,1,0,38,512,38,256,0.201784
conv,512,3,1,1,38,256,38,512,1.510473
conv,256,1,1,0,38,512,38,256,0.204119
conv,512,3,1,1,38,256,38,512,1.513374
max,,2,2,0,38,512,19,512,0.029291
conv,1024,3,1,1,19,512,19,1024,1.589231
conv,512,1,1,0,19,1024,19,512,0.194199
conv,1024,3,1,1,19,512,19,1024,1.589134
conv,512,1,1,0,19,1024,19,512,0.192992
conv,1024,3,1,1,19,512,19,1024,1.605642
conv,1024,3,1,1,19,1024,19,1024,3.093727
conv,1024,3,1,1,19,1024,19,1024,3.070377
route,16,,,,,,,,0.006758
conv,64,1,1,0,38,512,38,64,0.073015
reorg,,,2,0,38,64,19,256,0.001085
route,"27, 24",,,,,,,,0.004137
conv,1024,3,1,1,19,1280,19,1024,3.964888
conv,425,1,1,0,19,1024,19,425,0.167142
